"ACO","Accessoire/Objet","Ventilateur "
"ACO","Accessoire/Objet","Télévision"
"ACO","Accessoire/Objet","Ordinateur"
"ACO","Accessoire/Objet","Climatiseur"
"ACO","Accessoire/Objet","Objet de décoration"
"ACO","Accessoire/Objet","Divers"
"AGE","Agencement","Façade"
"AGE","Agencement","Poteau"
"AGE","Agencement","Stand"
"DRA","Drapeau","Tablette lumineuse"
"DRA","Drapeau","Tablette non lumineuse"
"DRA","Drapeau","Caisson lumineux"
"ECL","Éclairage","Rampe"
"ECL","Éclairage","Projecteur"
"ECL","Éclairage","Néon"
